,bid,ask,relative spread
2.5,72.3,72.55,0.003451846738004833
7.5,72.3,72.55,0.0034518467380048328
12.5,72.3,72.549758213632,0.0034485138318565735
17.5,72.300997203968,72.55,0.0034380551452168643
22.5,72.303418333184,72.55,0.0034045702922623636
27.5,72.3,72.55,0.003451846738004833
32.5,72.3,72.55,0.003451846738004833
37.5,72.3,72.55,0.003451846738004833
42.5,72.3,72.55,0.003451846738004833
47.5,72.3,72.55,0.003451846738004833
52.5,72.30000000000001,72.521620380672,0.0030604584907188235
57.5,72.29999999999998,72.46999999999998,0.0023485528769772984
62.5,72.3,72.47,0.0023485528769772984
67.5,72.3,72.47,0.0023485528769772984
72.5,72.3,72.46170645964798,0.002234104114294551
77.5,72.3,72.46,0.002210555402044717
82.5,72.3,72.46,0.002210555402044717
87.5,72.3,72.46,0.002210555402044717
92.5,72.242759617536,72.42361406463999,0.0025004006810999116
97.5,72.21,72.41,0.0027658691743880906
102.5,72.21,72.41,0.0027658691743880906
107.5,72.21,72.407006438912,0.002724524575967099
112.5,72.21,72.4,0.0026277574164997155
117.5,72.21,72.4,0.0026277574164997155
122.5,72.21,72.4,0.0026277574164997155
127.5,72.21,72.389584244736,0.002483873742318464
132.5,72.21,72.38,0.0023514765889757483
137.5,72.21,72.38,0.0023514765889757483
142.5,72.21,72.38,0.0023514765889757483
147.5,72.21,72.38575586355199,0.0024309938249758452
152.5,72.21,72.39,0.002489626556016692
157.5,72.21,72.38999844454399,0.0024896050659108998
162.5,72.21,72.37,0.0022133075114125164
167.5,72.21,72.37,0.0022133075114125164
172.5,72.21,72.376430264832,0.0023021538874449894
177.5,72.20999999999998,72.36726949836799,0.0021755560868489663
182.5,72.20999999999998,72.37256396902401,0.0022487243556337444
187.5,72.21,72.38,0.0023514765889757483
192.5,72.20999999999998,72.375393106944,0.0022878235725777504
197.5,72.21,72.37,0.0022133075114125164
202.5,72.21000000000001,72.37,0.002213307511412516
207.5,72.21,72.37000000000002,0.0022133075114125164
212.5,72.21,72.38450826905601,0.0024137533661232587
217.5,72.21,72.374097875968,0.0022699274856592257
222.5,72.20999999999998,72.37339793459199,0.0022602564602322
227.5,72.21000000000002,72.38,0.0023514765889757483
232.5,72.20999999999998,72.38151561830398,0.002372413402937727
237.5,72.21,72.4,0.0026277574164997155
242.5,72.216287676928,72.401304397824,0.0025587027353176227
247.5,72.235385060352,72.42459467264001,0.0026159215337224063
252.5,72.245581856768,72.44,0.0026874594056426507
257.5,72.25,72.44,0.002626304513096934
262.5,72.25899120537598,72.45429119436798,0.0026991232021840155
267.5,72.26,72.46,0.0027639579878384283
272.5,72.274546252288,72.46,0.002562678128641683
277.5,72.287681782784,72.47404727091201,0.0025747832134329915
282.5,72.29,72.47165805772799,0.0025097524405763207
287.5,72.29815430144001,72.478121234944,0.0024861335309481008
292.5,72.317934102528,72.50793407180801,0.0026238402333486144
297.5,72.32,72.51,0.002623765794379783
302.5,72.34239624396798,72.524930829312,0.0025200332791251987
307.5,72.360444424704,72.53,0.0023404680474024835
312.5,72.365342961664,72.53119788236802,0.0022892888798500786
317.5,72.371391799296,72.534487774208,0.002251055356209127
322.5,72.37999999999997,72.54331124531197,0.002253757224739636
327.5,72.38,72.53,0.002070250500310616
332.5,72.38,72.53,0.002070250500310616
337.5,72.38,72.52116319999999,0.0019484037338685074
342.5,72.38,72.51,0.0017944647663746245
347.5,72.38,72.51183895398401,0.0018198243801073048
352.5,72.38,72.51385380608001,0.0018476084707635934
357.5,72.38,72.5,0.0016565433462176222
362.5,72.38,72.48119386368,0.0013971036254140888
367.5,72.38,72.46,0.0011046672190002528
372.5,72.32692305663998,72.43973532876801,0.0015587388770260501
377.5,72.28,72.43539767296,0.002147629125609611
382.5,72.289268583424,72.43547699455999,0.0020205077201317484
387.5,72.30388475494401,72.44457178265601,0.0019438828483268162
392.5,72.302701999104,72.45000000000002,0.002035169433424058
397.5,72.293080004096,72.45,0.002168257623185163
402.5,72.280366603776,72.43073320755201,0.002078161675227689
407.5,72.255990894592,72.40862164838401,0.0021101337611413914
412.5,72.25681986355198,72.4,0.0019795857596928337
417.5,72.26174794496002,72.4,0.0019113851008190662
422.5,72.26,72.4,0.0019355730678833202
427.5,72.250578987008,72.4,0.0020659585572924397
432.5,72.25,72.4,0.0020739716557207836
437.5,72.23075085977601,72.37358558003201,0.0019755217722668
442.5,72.22299574476801,72.36999999999999,0.002033354378415572
447.5,72.22725427200001,72.37,0.001974392482192963
452.5,72.22,72.37,0.002074832284390423
457.5,72.22995271372801,72.37,0.0019370309173933943
462.5,72.232416209408,72.37,0.001902926950111965
467.5,72.24000000000001,72.37000000000003,0.0017979392849735102
472.5,72.24570485452801,72.37,0.0017189739548803219
477.5,72.234690702848,72.37,0.001871442504250173
482.5,72.22139789363202,72.36118857420801,0.0019337140856208535
487.5,72.21,72.340220006912,0.0018017266529919691
492.5,72.21000000000001,72.33155441152,0.0016819290656041972
497.5,72.21,72.32999999999998,0.001660440016604463
502.5,72.21000000000001,72.33,0.001660440016604463
507.5,72.21,72.33,0.0016604400166044633
512.5,72.21,72.33,0.0016604400166044628
517.5,72.20999999999998,72.33,0.0016604400166044633
522.5,72.20999999999998,72.33,0.0016604400166044633
527.5,72.21,72.314731716608,0.0014493202740943584
532.5,72.20999999999998,72.308006284288,0.0013563126900091938
537.5,72.21000000000001,72.32000000000001,0.0015221753269217386
542.5,72.21,72.32,0.0015221753269217386
547.5,72.21078672896,72.326024171008,0.0015945740876648694
552.5,72.22,72.33000000000001,0.001521964718090618
